"","Player_Name","NBA Team","Team","Position"
"513","David Nwaba","OKC","Free Agent","SG,SF"
"514","Garrett Temple","NOP","Free Agent","SG"
"515","Kobi Simmons","CHA","Free Agent","PG"
"516","Georgios Papagiannis","POR","Free Agent","C"
"517","McKinley Wright IV","DAL","Free Agent","PG"
"518","Thon Maker","CLE","Free Agent","C"
"519","Trevor Keels","NYK","Free Agent","SG"
"520","Joe Wieskamp","TOR","Free Agent","SF"
"521","Aaron Craft","FA","Free Agent","SG"
"522","David Duke Jr.","BKN","Free Agent","SG"
"523","Monta Ellis","IND","Free Agent","SG"
"524","Rakeem Christmas","IND","Free Agent","PF"
"525","Nathan Knight","MIN","Free Agent","C"
"526","Satnam Singh Bhamara","DAL","Free Agent","C"
"527","Jabari Parker","BOS","Free Agent","PF"
"528","Denzel Valentine","BOS","Free Agent","SG,SF"
"529","Joe Young","IND","Free Agent","PG"
"530","Willie Reed","CHI","Free Agent","C"
"531","Deonte Burton","SAC","Free Agent","SG"
"532","Stephen Zimmerman","SAS","Free Agent","C"
"533","Tyrese Martin","ATL","Free Agent","SF"
"534","David Stockton","LAL","Free Agent","PG"
"535","Jeff Dowtin Jr.","TOR","Free Agent","PG"
"536","Walt Lemon Jr.","IND","Free Agent","PG"
"537","Jahlil Okafor","ATL","Free Agent","C"
"538","Jeff Teague","MIL","Free Agent","PG"
"539","Admiral Schofield","ORL","Free Agent","SF"
"540","Wang Zhelin","MEM","Free Agent","C"
"541","Maurice Harkless","HOU","Free Agent","SF"
"542","Vernon Carey Jr.","WAS","Free Agent","C"
"543","Tony Bradley","CHI","Free Agent","C"
"544","Zoran Dragic","BOS","Free Agent","SG"
"545","Sekou Doumbouya","LAL","Free Agent","PF"
"546","Vince Williams Jr.","MEM","Free Agent","SF"
"547","Willie Cauley-Stein","HOU","Free Agent","C"
"548","Theo Pinson","DAL","Free Agent","SG"
"549","Jason Preston","LAC","Free Agent","PG"
"550","Trey Burke","OKC","Free Agent","PG"
"551","Kyle Guy","MIA","Free Agent","SG"
"552","Chris Chiozza","BKN","Free Agent","PG"
"553","Chris Johnson","HOU","Free Agent","SF"
"554","Ben McLemore","POR","Free Agent","SG"
"555","Brandon Williams","POR","Free Agent","PG"
"556","Shabazz Muhammad","MIL","Free Agent","SF"
"557","Brandon Knight","DAL","Free Agent","PG"
"558","Shane Larkin","BOS","Free Agent","PG"
"559","Greg Brown III","POR","Free Agent","PF"
"560","Quinn Cook","SAC","Free Agent","PG"
"561","Timothe Luwawu-Cabarrot","PHO","Free Agent","SF"
"562","Brad Wanamaker","WAS","Free Agent","PG"
"563","Mindaugas Kuzminskas","NYK","Free Agent","PF"
"564","Ersan Ilyasova","CHI","Free Agent","PF"
"565","Phil Pressey","GSW","Free Agent","PG"
"566","Carsen Edwards","DET","Free Agent","PG"
"567","Cassius Winston","WAS","Free Agent","PG"
"568","Tyrone Wallace","NOP","Free Agent","PG"
"569","Olivier Sarr","OKC","Free Agent","C"
"570","Gui Santos","GSW","Free Agent","SF"
"571","James Michael McAdoo","PHL","Free Agent","PF"
"572","Cristiano Felicio","CHI","Free Agent","C"
"573","Damjan Rudez","ORL","Free Agent","SF"
"574","DeAndre Daniels","FA","Free Agent","SF"
"575","Nigel Hayes","SAC","Free Agent","SF"
"576","Nico Mannion","GSW","Free Agent","PG"
"577","Marquese Chriss","OKC","Free Agent","PF,C"
"578","Avery Bradley","LAL","Free Agent","SG"
"579","KZ Okpala","SAC","Free Agent","SF"
"580","Keifer Sykes","IND","Free Agent","SG"
"581","Matt Thomas","CHI","Free Agent","SG"
"582","Joel Bolomboy","MIL","Free Agent","PF"
"583","Paul Zipser","CHI","Free Agent","SF"
"584","Luka Mitrovic","PHL","Free Agent","SF"
"585","C.J. Williams","BKN","Free Agent","SF"
"586","Kendall Brown","IND","Free Agent","SF"
"587","Alec Brown","FA","Free Agent","C"
"588","Michael Cobbins","OKC","Free Agent","PF"
"589","Ben Moore","SAS","Free Agent","PF"
"590","Will Cherry","GSW","Free Agent","SG"
"591","Russ Smith","MEM","Free Agent","PG"
"592","Patric Young","NOP","Free Agent","C"
"593","Jordan Mickey","MIA","Free Agent","PF"
"594","Isaiah Todd","WAS","Free Agent","PF"
"595","Jake Layman","BOS","Free Agent","SF"
"596","Zavier Simpson","ORL","Free Agent","PG"
"597","Louis Labeyrie","FA","Free Agent","PF"
"598","Sterling Brown","LAL","Free Agent","SG"
"599","Zylan Cheatham","NOP","Free Agent","SF"
"600","Greg Monroe","MIN","Free Agent","C"
"601","DJ Stephens","MEM","Free Agent","SG"
"602","Jordan Bell","CHI","Free Agent","C"
"603","Shayne Whittington","IND","Free Agent","C"
"604","Malcolm Delaney","ATL","Free Agent","PG"
"605","Carlik Jones","CHI","Free Agent","PG"
"606","Jordan Adams","MEM","Free Agent","SG"
"607","Darren Collison","LAL","Free Agent","PG"
"608","Kevin Pangos","CLE","Free Agent","PG"
"609","Cat Barber","ATL","Free Agent","PG"
"610","Johnathan Williams","WAS","Free Agent","C"
"611","Tyler Cook","CHI","Free Agent","PF"
"612","Alex Kirk","CLE","Free Agent","C"
"613","Xavier Sneed","CHA","Free Agent","SF"
"614","Frank Mason III","LAL","Free Agent","PG"
"615","Anthony Brown","PHL","Free Agent","SF"
"616","Diamond Stone","CHI","Free Agent","C"
"617","Justin Champagnie","BOS","Free Agent","SF"
"618","DaQuan Jeffries","NYK","Free Agent","SG"
"619","Dante Exum","HOU","Free Agent","PG"
"620","James Nunnally","NOP","Free Agent","SG"
"621","Alen Smailagic","GSW","Free Agent","PF"
"622","Jack White","DEN","Free Agent","SF"
"623","Jarrell Brantley","UTA","Free Agent","PF"
"624","Anthony Tolliver","NOP","Free Agent","PF"
"625","Leandro Bolmaro","UTA","Free Agent","SG"
"626","Arnoldas Kulboka","CHA","Free Agent","SF"
"627","Dru Smith","BKN","Free Agent","PG"
"628","Mike James","BKN","Free Agent","PG"
"629","Larry Drew II","DET","Free Agent","SG"
"630","Armoni Brooks","ATL","Free Agent","PG"
"631","Trent Forrest","ATL","Free Agent","SG"
"632","Bryce Cotton","MEM","Free Agent","SG"
"633","Alize Johnson","SAS","Free Agent","PF"
"634","Troy Williams","SAC","Free Agent","SF"
"635","Nate Wolters","UTA","Free Agent","PG"
"636","Joel Ayayi","WAS","Free Agent","PG"
"637","Marcus Zegarowski","BKN","Free Agent","PG"
"638","Ed Davis","CLE","Free Agent","PF"
"639","Briante Weber","MIA","Free Agent","PG"
"640","Marial Shayok","BOS","Free Agent","SF"
"641","Andrew White III","NYK","Free Agent","SG"
"642","Jonathon Simmons","WAS","Free Agent","SF"
"643","Andre Roberson","BKN","Free Agent","SG"
"644","Ryan Broekhoff","PHL","Free Agent","SG"
"645","Emmanuel Mudiay","SAC","Free Agent","PG"
"646","Vander Blue","LAL","Free Agent","SG"
"647","Xavier Moon","LAC","Free Agent","PG"
"648","Hollis Thompson","SAC","Free Agent","SF"
"649","Shawn Long","HOU","Free Agent","PF"
"650","Dakari Johnson","MEM","Free Agent","C"
"651","Ben Bentil","DAL","Free Agent","PF"
"652","Killian Tillie","MEM","Free Agent","C"
"653","Devin Cannady","ORL","Free Agent","PG"
"654","Lorenzo Brown","TOR","Free Agent","SG"
"655","Aleksandar Vezenkov","BKN","Free Agent","PF"
"656","Adreian Payne","ORL","Free Agent","PF"
"657","Lucas Nogueira","TOR","Free Agent","C"
"658","Mike Scott","PHL","Free Agent","PF"
"659","Luke Travers","CLE","Free Agent","SG"
"660","Cleanthony Early","NYK","Free Agent","SF"
"661","Vincent Edwards","SAC","Free Agent","SF"
"662","Tyler Ennis","LAL","Free Agent","PG"
"663","Rondae Hollis-Jefferson","POR","Free Agent","PF"
"664","Joel Berry II","LAL","Free Agent","PG"
"665","Tyler Johnson","SAS","Free Agent","PG"
"666","Micah Potter","UTA","Free Agent","C"
"667","Brandon Goodwin","CLE","Free Agent","PG"
"668","J.P. Tokoto","NYK","Free Agent","SG"
"669","Marshall Plumlee","MIL","Free Agent","C"
"670","Derrick Walton Jr.","DET","Free Agent","PG"
"671","Tim Quarterman","HOU","Free Agent","SG"
"672","Jamil Wilson","LAC","Free Agent","PF"
"673","Marcelo Huertas","HOU","Free Agent","PG"
"674","James Ennis III","DEN","Free Agent","SF"
"675","Xavier Rathan-Mayes","NYK","Free Agent","PG"
"676","Marcus Garrett","MIA","Free Agent","SG"
"677","Lance Thomas","BKN","Free Agent","PF"
"678","Dwight Buycks","DET","Free Agent","PG"
"679","Aaron White","WAS","Free Agent","SF"
"680","Alan Williams","BKN","Free Agent","PF"
"681","Drew Gordon","PHL","Free Agent","PF"
"682","Josh Gray","BKN","Free Agent","PG"
"683","Okaro White","WAS","Free Agent","PF"
"684","Chasson Randle","DEN","Free Agent","PG"
"685","Glenn Robinson III","SAC","Free Agent","SF"
"686","Jorge Gutierrez","DEN","Free Agent","PG"
"687","Angel Delgado","LAC","Free Agent","C"
"688","Troy Daniels","DEN","Free Agent","SG"
"689","BJ Johnson","ORL","Free Agent","SF"
"690","Zhaire Smith","DET","Free Agent","SG"
"691","Donta Hall","ORL","Free Agent","PF"
"692","Mike Tobey","CHA","Free Agent","C"
"693","Solomon Hill","NYK","Free Agent","SF"
"694","C.J. Miles","BOS","Free Agent","SF"
"695","Sam Dekker","TOR","Free Agent","PF"
"696","Tyler Dorsey","DAL","Free Agent","SG"
"697","Robert Woodard II","OKC","Free Agent","SF"
"698","Patrick Patterson","POR","Free Agent","PF"
"699","Jemerrio Jones","LAL","Free Agent","SF"
"700","Justin James","NOP","Free Agent","SG"
"701","Donte Grantham","LAC","Free Agent","SF"
"702","Paul Watson","OKC","Free Agent","SG"
"703","Joffrey Lauvergne","SAS","Free Agent","C"
"704","Keljin Blevins","POR","Free Agent","SF"
"705","Nikola Radicevic","DEN","Free Agent","PG"
"706","Michael Gbinije","GSW","Free Agent","SG"
"707","Jared Harper","NOP","Free Agent","PG"
"708","Kyle Collinsworth","UTA","Free Agent","SG"
"709","Julian Washburn","GSW","Free Agent","SF"
"710","Jarron Cumberland","POR","Free Agent","SG"
"711","Alfonzo McKinnie","CHI","Free Agent","SF"
"712","Wayne Selden","CHI","Free Agent","SG"
"713","RJ Nembhard Jr.","CLE","Free Agent","SG"
"714","Sean Kilpatrick","CHI","Free Agent","SG"
"715","Lamar Patterson","ATL","Free Agent","SG"
"716","Dzanan Musa","DET","Free Agent","SF"
"717","Jacob Wiley","BKN","Free Agent","SF"
"718","Jordan Bone","ORL","Free Agent","PG"
"719","Deng Adel","BKN","Free Agent","SF"
"720","Yam Madar","BOS","Free Agent","PG"
"721","Bruno Caboclo","BOS","Free Agent","SF"
"722","Jay Scrubb","ORL","Free Agent","SG"
"723","Moses Wright","DAL","Free Agent","PF"
"724","P.J. Hairston","HOU","Free Agent","SG"
"725","Matteo Spagnolo","MIN","Free Agent","PG"
"726","Rodney Hood","LAC","Free Agent","SG"
"727","Mason Jones","LAL","Free Agent","SG"
"728","Nicolas Laprovittola","SAS","Free Agent","SG"
"729","Duje Dukan","SAC","Free Agent","PF"
"730","T.J. Leaf","POR","Free Agent","PF"
"731","JaQuori McLaughlin","DAL","Free Agent","PG"
"732","Elijah Hughes","POR","Free Agent","SG"
"733","Georgios Kalaitzakis","OKC","Free Agent","PG"
"734","Rokas Jokubaitis","NYK","Free Agent","PG"
"735","Edy Tavares","CLE","Free Agent","C"
"736","Jaylen Adams","MIL","Free Agent","PG"
"737","David Johnson","TOR","Free Agent","PG"
"738","Omari Spellman","NYK","Free Agent","PF"
"739","Gabriele Procida","DET","Free Agent","SG"
"740","Vince Shamar Hunter","MEM","Free Agent","PF"
"741","Nikola Milutinov","SAS","Free Agent","C"
"742","Jaylen Morris","SAS","Free Agent","SG"
"743","Rade Zagorac","MEM","Free Agent","SG"
"744","Jontay Porter","MEM","Free Agent","PF"
"745","Tyler Harvey","MEM","Free Agent","SG"
"746","Nicolo Melli","DAL","Free Agent","PF"
"747","Darius Miller","OKC","Free Agent","SF"
"748","Markus Howard","DEN","Free Agent","PG"
"749","DeVaughn Akoon-Purcell","OKC","Free Agent","SG"
"750","Myke Henry","OKC","Free Agent","SF"
"751","Salah Mejri","DAL","Free Agent","C"
"752","Yogi Ferrell","LAC","Free Agent","SG"
"753","Semi Ojeleye","LAC","Free Agent","PF"
"754","Terrance Ferguson","NYK","Free Agent","SG"
"755","Josh Magette","ORL","Free Agent","PG"
"756","Thomas Welsh","CHA","Free Agent","C"
"757","Damien Inglis","NYK","Free Agent","SF"
"758","Keith Appling","ORL","Free Agent","PG"
"759","Devon Dotson","WAS","Free Agent","PG"
"760","Vincent Poirier","NYK","Free Agent","C"
"761","Maurice Ndour","NYK","Free Agent","SF"
"762","MarShon Brooks","CHI","Free Agent","SG"
"763","E'Twaun Moore","ORL","Free Agent","SG"
"764","Frank Jackson","UTA","Free Agent","PG"
"765","Brice Johnson","DET","Free Agent","PF"
"766","Khalifa Diop","CLE","Free Agent","C"
"767","Juwan Morgan","LAC","Free Agent","SF"
"768","Isaac Humphries","ORL","Free Agent","C"
"769","Jordan Loyd","TOR","Free Agent","PG"
"770","Nik Stauskas","IND","Free Agent","SG"
"771","Balsa Koprivica","DET","Free Agent","C"
"772","Chris Clemons","ATL","Free Agent","PG"
"773","Jalen Jones","WAS","Free Agent","SF"
"774","Rayjon Tucker","MIL","Free Agent","SF"
"775","Darrun Hilliard","SAS","Free Agent","SF"
"776","Daniel Diez","POR","Free Agent","SG"
"777","Tyler Davis","OKC","Free Agent","C"
"778","Aaron Harrison","DAL","Free Agent","SG"
"779","Isaiah Cousins","UTA","Free Agent","SG"
"780","Jarrod Uthoff","NOP","Free Agent","PF"
"781","Mitchell Creek","MIN","Free Agent","SF"
"782","Alec Peters","PHO","Free Agent","PF"
"783","Ray Spalding","HOU","Free Agent","PF"
"784","Michael Frazier","HOU","Free Agent","SG"
"785","Eric Griffin","UTA","Free Agent","SF"
"786","RaiQuan Gray","BKN","Free Agent","PF"
"787","Freddie Gillespie","ORL","Free Agent","PF"
"788","Ognjen Jaramaz","NYK","Free Agent","PG"
"789","Billy Garrett Jr.","NYK","Free Agent","SG"
"790","Sheldon Mac","CLE","Free Agent","SG"
"791","Isaiah Briscoe","ORL","Free Agent","PG"
"792","Aaron Henry","PHL","Free Agent","SF"
"793","Marcus Paige","CHA","Free Agent","PG"
"794","Justin Anderson","IND","Free Agent","SF"
"795","Rodney Purvis","MIA","Free Agent","SG"
"796","Yante Maten","BOS","Free Agent","PF"
"797","James Webb III","BKN","Free Agent","PF"
"798","Marcus Thornton","CLE","Free Agent","SG"
"799","Matt Williams Jr.","MIA","Free Agent","SG"
"800","Chris Silva","DAL","Free Agent","PF"
"801","Marko Guduric","MEM","Free Agent","SG"
"802","Dakota Mathias","MEM","Free Agent","SG"
"803","Petr Cornelie","DEN","Free Agent","PF"
"804","Pierre Deshawn Jackson","DAL","Free Agent","PG"
"805","Scotty Hopson","OKC","Free Agent","SG"
"806","Dimitrios Agravanis","SAC","Free Agent","PF"
"807","Ismael Kamagate","POR","Free Agent","C"
"808","Gary Clark","NOP","Free Agent","PF"
"809","Justin Patton","HOU","Free Agent","C"
"810","Jon Teske","MEM","Free Agent","C"
"811","Cameron McGriff","POR","Free Agent","SF"
"812","Cheick Diallo","DET","Free Agent","PF"
"813","Xavier Munford","MIL","Free Agent","SG"
"814","Ignas Brazdeikis","ORL","Free Agent","PF"
"815","Dewan Hernandez","TOR","Free Agent","C"
"816","Javin DeLaurier","MIL","Free Agent","C"
"817","Sergey Karasev","BKN","Free Agent","SG"
"818","Branden Dawson","ORL","Free Agent","SF"
"819","Filip Petrusev","PHL","Free Agent","C"
"820","Axel Toupane","MIL","Free Agent","SG"
"821","Sindarius Thornwell","ORL","Free Agent","SG"
"822","Mangok Mathiang","CHA","Free Agent","PF"
"823","AJ Hammons","MIA","Free Agent","C"
"824","Cameron Bairstow","DET","Free Agent","PF"
"825","Langston Galloway","IND","Free Agent","SG"
"826","Nate Darling","LAC","Free Agent","SG"
"827","Miye Oni","NOP","Free Agent","SG"
"828","Yves Pons","MEM","Free Agent","SG"
"829","Jahmi'us Ramsey","SAC","Free Agent","SG"
"830","Richard Solomon","OKC","Free Agent","PF"
"831","Reggie Perry","POR","Free Agent","C"
"832","Eric Moreland","OKC","Free Agent","PF"
"833","Greg Whittington","DEN","Free Agent","SF"
"834","Cliff Alexander","NOP","Free Agent","PF"
"835","Cody Demps","SAC","Free Agent","PG"
"836","Harry Giles III","LAC","Free Agent","PF"
"837","George King","DAL","Free Agent","SF"
"838","Tyler Cavanaugh","UTA","Free Agent","PF"
"839","Khyri Thomas","HOU","Free Agent","SG"
"840","Jaime Echenique","WAS","Free Agent","C"
"841","Isaiah Taylor","TOR","Free Agent","PG"
"842","Jalen Harris","NYK","Free Agent","SG"
"843","Anzejs Pasecniks","WAS","Free Agent","C"
"844","Antonio Blakeney","CHI","Free Agent","SG"
"845","Arturas Gudaitis","CLE","Free Agent","C"
"846","Patrick McCaw","TOR","Free Agent","SG"
"847","Daniel Oturu","TOR","Free Agent","C"
"848","Charles Cooke","MIA","Free Agent","SG"
"849","Malcolm Miller","TOR","Free Agent","SF"
"850","Wes Iwundu","SAC","Free Agent","SF"
"851","Jordan Sibert","ATL","Free Agent","SG"
"852","DeAndre' Bembry","MIL","Free Agent","SF"
"853","Scottie Lewis","CHA","Free Agent","SG"
"854","Damyean Dotson","NYK","Free Agent","SG"
"855","Coty Clarke","BOS","Free Agent","PF"
"856","Alex Poythress","ATL","Free Agent","PF"
"857","Trey McKinney-Jones","IND","Free Agent","SG"
"858","Marques Bolden","MIL","Free Agent","C"
"859","Chinanu Onuaku","POR","Free Agent","PF"
"860","Johnathan Motley","PHO","Free Agent","PF"
"861","Tyrell Terry","MEM","Free Agent","PG"
"862","Justin Wright-Foreman","UTA","Free Agent","PG"
"863","CJ Elleby","MIN","Free Agent","SG"
"864","Rashad Vaughn","DAL","Free Agent","SF"
"865","Ky Bowman","LAC","Free Agent","PG"
"866","Karlo Matkovic","NOP","Free Agent","PF"
"867","Devontae Cacok","POR","Free Agent","C"
"868","KJ McDaniels","OKC","Free Agent","SF"
"869","Ashton Hagans","MIN","Free Agent","PG"
"870","Mitch McGary","OKC","Free Agent","PF"
"871","Grant Jerrett","POR","Free Agent","PF"
"872","Dusty Hannahs","MEM","Free Agent","SG"
"873","Tony Carr","NOP","Free Agent","PG"
"874","Matt Costello","SAS","Free Agent","PF"
"875","Emanuel Terry","PHO","Free Agent","PF"
"876","Rodions Kurucs","MIL","Free Agent","PF"
"877","Alpha Kaba","ATL","Free Agent","PF"
"878","Tremont Waters","WAS","Free Agent","PG"
"879","Cassius Stanley","DET","Free Agent","SG"
"880","Deividas Sirvydis","IND","Free Agent","SF"
"881","Jaylen Hands","DET","Free Agent","PG"
"882","Devin Robinson","TOR","Free Agent","SF"
"883","Cameron Oliver","ATL","Free Agent","PF"
"884","Marcus Georges-Hunt","BOS","Free Agent","SG"
"885","Amile Jefferson","BOS","Free Agent","PF"
"886","Milton Doyle","CHI","Free Agent","SG"
"887","Joe Chealey","CHA","Free Agent","PG"
"888","Henry Ellenson","TOR","Free Agent","PF"
"889","Justin Jackson","ORL","Free Agent","SF"
"890","Kay Felder","TOR","Free Agent","PG"
"891","Jerome Robinson","GSW","Free Agent","SG"
"892","Adam Mokoka","OKC","Free Agent","SG"
"893","MJ Walker","PHO","Free Agent","SG"
"894","Cameron Reynolds","HOU","Free Agent","SG"
"895","Devon Hall","OKC","Free Agent","PG"
"896","Cady Lalanne","SAS","Free Agent","C"
"897","Semaj Christon","OKC","Free Agent","PG"
"898","Erik McCree","UTA","Free Agent","SF"
"899","Josh Huestis","SAS","Free Agent","SF"
"900","Tyler Bey","HOU","Free Agent","PF"
"901","Olivier Hanlan","SAS","Free Agent","PG"
"902","Antonius Cleveland","OKC","Free Agent","SG"
"903","Jared Terrell","MIN","Free Agent","SG"
"904","Will Magnay","NOP","Free Agent","PF"
"905","Abdel Nader","PHO","Free Agent","SF"
"906","Archie Goodwin","POR","Free Agent","SG"
"907","Gabriel Deck","OKC","Free Agent","SF"
"908","Elie Okobo","BKN","Free Agent","PG"
"909","Nate Hinton","CLE","Free Agent","SG"
"910","Feron Hunt","NYK","Free Agent","PF"
"911","Trevelin Queen","IND","Free Agent","SG"
"912","Brodric Thomas","BOS","Free Agent","SG"
"913","Jalen Lecque","MIL","Free Agent","PG"
"914","Keenan Evans","DET","Free Agent","SG"
"915","Treveon Graham","MIL","Free Agent","SF"
"916","Marcus Derrickson","ATL","Free Agent","SF"
"917","Amida Brimah","IND","Free Agent","C"
"918","Naz Mitrou-Long","IND","Free Agent","SG"
"919","Daniel Ochefu","WAS","Free Agent","PF"
"920","Hassani Gravett","ORL","Free Agent","PG"
"921","J.P. Macura","CLE","Free Agent","SG"
"922","Justin Robinson","DET","Free Agent","PG"
"923","Chris McCullough","DET","Free Agent","PF"
"924","Brian Bowen II","MIN","Free Agent","SG"
"925","Jamel Artis","LAC","Free Agent","SG"
"926","Jarnell Stokes","MEM","Free Agent","PF"
"927","Norvel Pelle","POR","Free Agent","C"
"928","Eric Atkins","UTA","Free Agent","PG"
"929","Kevin Hervey","OKC","Free Agent","SF"
"930","Jameel Warney","DAL","Free Agent","PF"
"931","Trevon Bluiett","UTA","Free Agent","SG"
"932","Justinian Jessup","GSW","Free Agent","SG"
"933","Sean McDermott","MEM","Free Agent","SG"
"934","Malik Newman","CLE","Free Agent","SG"
"935","Chaundee Brown Jr.","ATL","Free Agent","SG"
"936","Allonzo Trier","NYK","Free Agent","SG"
"937","Jacob Evans","NYK","Free Agent","SG"
"938","Tim Frazier","CLE","Free Agent","PG"
"939","Bonzie Colson","MIL","Free Agent","PF"
"940","Karim Mane","ORL","Free Agent","SG"
"941","Issuf Sanon","WAS","Free Agent","PG"
"942","Kelan Martin","NOP","Free Agent","SG"
"943","Louis King","PHL","Free Agent","PF"
"944","Melvin Frazier Jr.","OKC","Free Agent","SF"
"945","Troy Caupain","POR","Free Agent","SG"
"946","Rawle Alkins","NOP","Free Agent","SG"
"947","Chandler Hutchison","PHO","Free Agent","SF"
"948","Isaia Cordinier","ATL","Free Agent","SG"
"949","JaKarr Sampson","IND","Free Agent","PF"
"950","Zach Lofton","DET","Free Agent","SG"
"951","Luis Montero","DET","Free Agent","SG"
"952","Yannick Nzosa","WAS","Free Agent","C"
"953","Isaiah Hicks","NYK","Free Agent","PF"
"954","Jordan Schakel","WAS","Free Agent","SF"
"955","Daryl Macon","MIA","Free Agent","SG"
"956","J.J. O'Brien","MIL","Free Agent","SF"
"957","Matt Mooney","NYK","Free Agent","SG"
"958","Didi Louzada","CLE","Free Agent","SG"
"959","London Perrantes","POR","Free Agent","PG"
"960","David Michineau","LAC","Free Agent","SG"
"961","Ty-Shon Alexander","PHO","Free Agent","SG"
"962","Vanja Marinkovic","SAC","Free Agent","SG"
"963","Josh Hall","OKC","Free Agent","SF"
"964","Tahjere McCall","ATL","Free Agent","SG"
"965","Jamorko Pickett","CLE","Free Agent","PF"
"966","Grant Riller","PHL","Free Agent","PG"
"967","Juhann Begarin","BOS","Free Agent","SG"
"968","Hugo Besson","IND","Free Agent","PG"
"969","Zach Norvell Jr.","CHI","Free Agent","SG"
"970","Trevon Duval","HOU","Free Agent","PG"
"971","Marcus Eriksson","ATL","Free Agent","SG"
"972","Gian Clavell","DAL","Free Agent","SG"
"973","Mychal Mulder","MIA","Free Agent","SG"
"974","Nicolas Brussino","ATL","Free Agent","SG"
"975","Brandon Sampson","CHI","Free Agent","SG"
"976","Chance Comanche","POR","Free Agent","C"
