"","Player_Name","NBA Team","Team","Position"
"107","Kyle Kuzma","WAS","Deez Data","PF,SF"
"108","Lauri Markkanen","UTA","Deez Data","PF,SF"
"109","Mike Conley","MIN","Deez Data","PG"
"110","Nic Claxton","BKN","Deez Data","C,PF"
"111","Al Horford","BOS","Deez Data","C,PF"
"112","Saddiq Bey","ATL","Deez Data","SF,PF"
"113","Karl-Anthony Towns","MIN","Team Shah","PF,C"
"114","LeBron James","LAL","Team Shah","SF,PG,PF"
"115","Terry Rozier","CHA","Team Shah","PG,SG"
"116","D'Angelo Russell","LAL","Team Shah","PG,SG"
"117","Keegan Murray","SAC","Team Shah","PF"
"118","Ben Simmons","BKN","Team Shah","PG,PF,C"
"119","Klay Thompson","GSW","Team Shah","SG,SF"
"120","Brandon Clarke","MEM","Team Shah","PF,C"
"121","Robert Williams III","BOS","Team Shah","C,PF"
"122","Brook Lopez","MIL","Team Shah","C"
"123","Jordan Poole","GSW","Team Shah","SG,PG"
"124","Chris Paul","PHO","Team Shah","PG"
"125","Tre Jones","SAS","Free Agent","PG"
"126","Jaden Ivey","DET","Free Agent","PG,SG"
"127","Wendell Carter Jr.","ORL","Free Agent","C,PF"
"128","Kyle Lowry","MIA","Free Agent","PG"
"129","Harrison Barnes","SAC","Free Agent","SF,PF"
"130","Collin Sexton","UTA","Free Agent","SG,PG"
"131","Jabari Smith Jr.","HOU","Free Agent","PF,C"
"132","Cole Anthony","ORL","Free Agent","PG"
"133","Gordon Hayward","CHA","Free Agent","SF"
"134","Bennedict Mathurin","IND","Free Agent","SG,SF"
"135","Monte Morris","WAS","Free Agent","PG"
"136","Caris LeVert","CLE","Free Agent","SG,SF"
"137","Bogdan Bogdanovic","ATL","Free Agent","SG,SF"
"138","Chris Boucher","TOR","Free Agent","C,PF"
"139","Malik Beasley","LAL","Free Agent","SG"
"140","Shaedon Sharpe","POR","Free Agent","SG"
"141","Steven Adams","MEM","Free Agent","C"
"142","Herbert Jones","NOP","Free Agent","SF,PF"
"143","Kelly Olynyk","UTA","Free Agent","C,PF"
"144","Jaden McDaniels","MIN","Free Agent","SF"
"145","Jalen Smith","IND","Free Agent","PF,C"
"146","Austin Reaves","LAL","Free Agent","SG"
"147","Bruce Brown","DEN","Free Agent","SG,SF"
"148","Andre Drummond","CHI","Free Agent","C"
"149","Bol Bol","ORL","Free Agent","PF,C"
"150","Norman Powell","LAC","Free Agent","SG,SF"
"151","Dennis Schroder","LAL","Free Agent","PG"
"152","John Wall","HOU","Free Agent","PG"
"153","Jarred Vanderbilt","LAL","Free Agent","PF,C"
"154","Montrezl Harrell","PHL","Free Agent","C,PF"
"155","Onyeka Okongwu","ATL","Free Agent","C"
"156","Quentin Grimes","NYK","Free Agent","SG"
"157","Luguentz Dort","OKC","Free Agent","SG,SF"
"158","Kris Dunn","UTA","Free Agent","PG"
"159","Royce O'Neale","BKN","Free Agent","SF,PF"
"160","Kevon Looney","GSW","Free Agent","PF,C"
"161","Jonathan Isaac","ORL","Free Agent","PF,SF"
"162","Skylar Mays","POR","Free Agent","SG"
"163","Tyus Jones","MEM","Free Agent","PG"
"164","Talen Horton-Tucker","UTA","Free Agent","PG,SG,SF"
"165","James Wiseman","DET","Free Agent","C"
"166","Zach Collins","SAS","Free Agent","C"
"167","Killian Hayes","DET","Free Agent","PG"
"168","Lonzo Ball","CHI","Free Agent","PG"
"169","Tim Hardaway Jr.","DAL","Free Agent","SG,SF"
"170","Bones Hyland","LAC","Free Agent","PG"
"171","Seth Curry","BKN","Free Agent","SG,PG"
"172","Dennis Smith Jr.","CHA","Free Agent","PG"
"173","De'Andre Hunter","ATL","Free Agent","SF,PF"
"174","Kentavious Caldwell-Pope","DEN","Free Agent","SG,SF"
"175","Jalen Duren","DET","Free Agent","C"
"176","Marvin Bagley III","DET","Free Agent","PF,C"
"177","Malik Monk","SAC","Free Agent","SG,SF"
"178","Kenyon Martin Jr.","HOU","Free Agent","SF"
"179","Reggie Jackson","DEN","Free Agent","PG"
"180","Miles Bridges","CHA","Free Agent","SF,PF"
"181","Lonnie Walker IV","LAL","Free Agent","SF,SG"
"182","Will Barton","TOR","Free Agent","SF,SG"
"183","T.J. McConnell","IND","Free Agent","PG"
"184","Ayo Dosunmu","CHI","Free Agent","SG,PG"
"185","Marcus Morris Sr.","LAC","Free Agent","PF,SF"
"186","Andrew Nembhard","IND","Free Agent","PG,SG"
"187","Mo Bamba","LAL","Free Agent","C"
"188","Kevin Love","MIA","Free Agent","PF,C"
"189","Deni Avdija","WAS","Free Agent","SF,PF"
"190","Isaiah Stewart","DET","Free Agent","C,PF"
"191","Delon Wright","WAS","Free Agent","PG,SG,PF"
"192","Donte DiVincenzo","GSW","Free Agent","SG,PG"
"193","Victor Oladipo","MIA","Free Agent","SG"
"194","Thomas Bryant","DEN","Free Agent","C"
"195","Patrick Beverley","CHI","Free Agent","PG"
"196","Xavier Tillman","MEM","Free Agent","PF,C"
